evaluation_id,student_id,subject_id,evaluation_date,comments,point
68,OGB/2024/7,subject_28,2024-09-18,Very bad performance,0
69,OGB/2024/7,subject_16,2024-09-16,Below average performance,2
70,OGB/2024/7,subject_18,2024-09-12,Excellent performance,10
71,OGB/2024/7,subject_5,2024-09-19,Very bad performance,0
72,OGB/2024/7,subject_6,2024-10-03,Fair performance,6
73,OGB/2024/7,subject_27,2024-10-07,Fair performance,6
74,OGB/2024/7,subject_17,2024-09-10,Excellent performance,10
75,OGB/2024/8,subject_28,2024-09-20,Excellent performance,10
76,OGB/2024/8,subject_15,2024-10-02,Very bad performance,0
77,OGB/2024/8,subject_14,2024-09-30,Excellent performance,10
78,OGB/2024/8,subject_22,2024-09-10,Excellent performance,10
79,OGB/2024/8,subject_17,2024-09-29,Below average performance,2
80,OGB/2024/8,subject_24,2024-09-14,Excellent performance,10
81,OGB/2024/8,subject_16,2024-09-30,Good performance,8
82,OGB/2024/8,subject_5,2024-10-05,Below average performance,2
83,OGB/2024/8,subject_26,2024-09-23,Good performance,8
84,OGB/2024/8,subject_25,2024-09-08,Very bad performance,0
85,OGB/2024/9,subject_9,2024-09-13,Very bad performance,0
86,OGB/2024/9,subject_4,2024-10-07,Below average performance,2
87,OGB/2024/9,subject_6,2024-09-20,Fair performance,6
88,OGB/2024/9,subject_7,2024-10-05,Excellent performance,10
89,OGB/2024/9,subject_10,2024-10-07,Very bad performance,0
90,OGB/2024/9,subject_5,2024-09-10,Very bad performance,0
91,OGB/2024/9,subject_3,2024-09-20,Very bad performance,0
92,OGB/2024/9,subject_1,2024-09-28,Good performance,8
93,OGB/2024/10,subject_21,2024-09-29,Below average performance,2
94,OGB/2024/10,subject_22,2024-09-27,Very bad performance,0
95,OGB/2024/10,subject_29,2024-09-07,Good performance,8
96,OGB/2024/10,subject_16,2024-10-07,Below average performance,2
97,OGB/2024/10,subject_17,2024-09-18,Average performance,4
98,OGB/2024/10,subject_28,2024-09-18,Excellent performance,10
99,OGB/2024/10,subject_25,2024-09-23,Very bad performance,0
100,OGB/2024/10,subject_23,2024-09-20,Below average performance,2
101,OGB/2024/10,subject_24,2024-09-26,Average performance,4
102,OGB/2024/11,subject_17,2024-09-27,Good performance,8
103,OGB/2024/11,subject_27,2024-10-01,Below average performance,2
104,OGB/2024/11,subject_13,2024-09-10,Average performance,4
105,OGB/2024/11,subject_1,2024-09-28,Very bad performance,0
106,OGB/2024/11,subject_15,2024-09-15,Good performance,8
107,OGB/2024/11,subject_22,2024-10-03,Below average performance,2
108,OGB/2024/11,subject_26,2024-09-12,Excellent performance,10
109,OGB/2024/11,subject_23,2024-09-22,Very bad performance,0
110,OGB/2024/11,subject_6,2024-09-21,Excellent performance,10
111,OGB/2024/12,subject_2,2024-09-09,Excellent performance,10
112,OGB/2024/12,subject_7,2024-09-10,Excellent performance,10
113,OGB/2024/12,subject_9,2024-10-01,Good performance,8
114,OGB/2024/12,subject_8,2024-09-29,Excellent performance,10
115,OGB/2024/12,subject_1,2024-09-16,Fair performance,6
116,OGB/2024/12,subject_4,2024-09-25,Below average performance,2
117,OGB/2024/12,subject_3,2024-09-07,Excellent performance,10
118,OGB/2024/12,subject_5,2024-09-18,Very bad performance,0
119,OGB/2024/12,subject_10,2024-09-25,Excellent performance,10
120,OGB/2024/13,subject_4,2024-10-04,Very bad performance,0
121,OGB/2024/13,subject_3,2024-09-27,Excellent performance,10
122,OGB/2024/13,subject_8,2024-09-21,Excellent performance,10
123,OGB/2024/13,subject_6,2024-09-07,Fair performance,6
124,OGB/2024/13,subject_2,2024-09-14,Good performance,8
125,OGB/2024/13,subject_10,2024-09-26,Good performance,8
126,OGB/2024/13,subject_9,2024-10-06,Fair performance,6
127,OGB/2024/13,subject_1,2024-10-02,Excellent performance,10
128,OGB/2024/13,subject_7,2024-09-25,Good performance,8
129,OGB/2024/13,subject_5,2024-09-12,Excellent performance,10
130,OGB/2024/14,subject_1,2024-09-23,Very bad performance,0
131,OGB/2024/14,subject_10,2024-09-25,Excellent performance,10
132,OGB/2024/14,subject_9,2024-09-21,Very bad performance,0
133,OGB/2024/14,subject_8,2024-09-17,Excellent performance,10
134,OGB/2024/14,subject_5,2024-10-04,Very bad performance,0
135,OGB/2024/14,subject_6,2024-09-24,Excellent performance,10
136,OGB/2024/14,subject_3,2024-09-25,Excellent performance,10
137,OGB/2024/14,subject_2,2024-10-07,Fair performance,6
138,OGB/2024/14,subject_4,2024-09-24,Excellent performance,10
139,OGB/2024/15,subject_24,2024-09-07,Fair performance,6
140,OGB/2024/15,subject_2,2024-09-08,Very bad performance,0
141,OGB/2024/15,subject_5,2024-09-26,Very bad performance,0
142,OGB/2024/15,subject_27,2024-09-23,Very bad performance,0
143,OGB/2024/15,subject_1,2024-10-06,Good performance,8
144,OGB/2024/15,subject_22,2024-09-09,Fair performance,6
145,OGB/2024/15,subject_23,2024-10-04,Good performance,8
146,OGB/2024/15,subject_6,2024-09-21,Average performance,4
147,OGB/2024/15,subject_21,2024-09-24,Excellent performance,10
148,OGB/2024/15,subject_29,2024-09-28,Excellent performance,10
149,OGB/2024/16,subject_27,2024-09-07,Good performance,8
150,OGB/2024/16,subject_13,2024-09-27,Excellent performance,10
151,OGB/2024/16,subject_21,2024-09-26,Good performance,8
152,OGB/2024/16,subject_14,2024-09-16,Very bad performance,0
153,OGB/2024/16,subject_15,2024-09-24,Fair performance,6
154,OGB/2024/16,subject_2,2024-09-23,Fair performance,6
155,OGB/2024/16,subject_1,2024-10-02,Excellent performance,10
156,OGB/2024/16,subject_5,2024-09-14,Excellent performance,10
157,OGB/2024/16,subject_22,2024-09-15,Very bad performance,0
158,OGB/2024/16,subject_28,2024-09-21,Below average performance,2
159,OGB/2024/17,subject_26,2024-09-15,Fair performance,6
160,OGB/2024/17,subject_17,2024-09-27,Fair performance,6
161,OGB/2024/17,subject_5,2024-09-14,Excellent performance,10
162,OGB/2024/17,subject_1,2024-09-19,Very bad performance,0
163,OGB/2024/17,subject_16,2024-09-25,Excellent performance,10
164,OGB/2024/17,subject_24,2024-10-01,Excellent performance,10
165,OGB/2024/17,subject_18,2024-10-02,Excellent performance,10
166,OGB/2024/17,subject_2,2024-09-20,Average performance,4
167,OGB/2024/17,subject_23,2024-09-26,Very bad performance,0
168,OGB/2024/17,subject_6,2024-09-21,Excellent performance,10
169,OGB/2024/18,subject_9,2024-09-14,Below average performance,2
170,OGB/2024/18,subject_3,2024-09-18,Very bad performance,0
171,OGB/2024/18,subject_6,2024-09-12,Good performance,8
172,OGB/2024/18,subject_1,2024-09-11,Excellent performance,10
173,OGB/2024/18,subject_4,2024-09-11,Excellent performance,10
174,OGB/2024/18,subject_2,2024-09-10,Excellent performance,10
175,OGB/2024/18,subject_7,2024-10-03,Fair performance,6
176,OGB/2024/18,subject_5,2024-09-15,Excellent performance,10
177,OGB/2024/18,subject_10,2024-09-08,Average performance,4
178,OGB/2024/18,subject_8,2024-10-02,Excellent performance,10
179,OGB/2024/19,subject_18,2024-09-10,Excellent performance,10
180,OGB/2024/19,subject_13,2024-09-09,Excellent performance,10
181,OGB/2024/19,subject_1,2024-09-22,Average performance,4
182,OGB/2024/19,subject_17,2024-09-19,Below average performance,2
183,OGB/2024/19,subject_22,2024-09-27,Very bad performance,0
184,OGB/2024/19,subject_29,2024-09-18,Very bad performance,0
185,OGB/2024/19,subject_27,2024-09-26,Excellent performance,10
186,OGB/2024/19,subject_25,2024-09-28,Good performance,8
187,OGB/2024/19,subject_5,2024-09-28,Very bad performance,0
188,OGB/2024/19,subject_6,2024-09-25,Excellent performance,10
189,OGB/2024/20,subject_24,2024-09-28,Fair performance,6
190,OGB/2024/20,subject_28,2024-09-19,Good performance,8
191,OGB/2024/20,subject_26,2024-10-07,Excellent performance,10
192,OGB/2024/20,subject_2,2024-10-04,Below average performance,2
193,OGB/2024/20,subject_14,2024-09-15,Average performance,4
194,OGB/2024/20,subject_13,2024-09-14,Below average performance,2
195,OGB/2024/20,subject_22,2024-09-18,Very bad performance,0
196,OGB/2024/20,subject_25,2024-09-16,Good performance,8
197,OGB/2024/20,subject_5,2024-10-05,Fair performance,6
198,OGB/2024/21,subject_1,2024-10-02,Excellent performance,10
199,OGB/2024/21,subject_9,2024-09-24,Excellent performance,10
200,OGB/2024/21,subject_4,2024-09-15,Excellent performance,10
201,OGB/2024/21,subject_8,2024-10-01,Good performance,8
202,OGB/2024/21,subject_3,2024-09-15,Fair performance,6
203,OGB/2024/21,subject_5,2024-09-10,Excellent performance,10
204,OGB/2024/21,subject_6,2024-09-27,Very bad performance,0
205,OGB/2024/21,subject_2,2024-09-23,Below average performance,2
206,OGB/2024/22,subject_1,2024-09-18,Very bad performance,0
207,OGB/2024/22,subject_4,2024-09-16,Very bad performance,0
208,OGB/2024/22,subject_8,2024-10-05,Very bad performance,0
209,OGB/2024/22,subject_2,2024-09-29,Good performance,8
210,OGB/2024/22,subject_9,2024-09-08,Good performance,8
211,OGB/2024/22,subject_7,2024-09-14,Below average performance,2
212,OGB/2024/22,subject_10,2024-09-14,Very bad performance,0
213,OGB/2024/22,subject_5,2024-09-28,Fair performance,6
214,OGB/2024/22,subject_6,2024-09-25,Average performance,4
215,OGB/2024/23,subject_6,2024-09-11,Excellent performance,10
216,OGB/2024/23,subject_8,2024-10-03,Good performance,8
217,OGB/2024/23,subject_3,2024-10-03,Below average performance,2
218,OGB/2024/23,subject_4,2024-10-03,Fair performance,6
219,OGB/2024/23,subject_1,2024-09-30,Fair performance,6
220,OGB/2024/23,subject_9,2024-09-12,Excellent performance,10
221,OGB/2024/23,subject_5,2024-09-20,Fair performance,6
222,OGB/2024/23,subject_7,2024-10-07,Excellent performance,10
223,OGB/2024/24,subject_3,2024-09-28,Fair performance,6
224,OGB/2024/24,subject_4,2024-09-22,Fair performance,6
225,OGB/2024/24,subject_5,2024-09-22,Average performance,4
226,OGB/2024/24,subject_8,2024-09-08,Excellent performance,10
227,OGB/2024/24,subject_10,2024-09-21,Good performance,8
228,OGB/2024/24,subject_9,2024-09-27,Very bad performance,0
229,OGB/2024/24,subject_1,2024-09-26,Very bad performance,0
230,OGB/2024/24,subject_7,2024-09-11,Excellent performance,10
231,OGB/2024/24,subject_2,2024-09-26,Below average performance,2
232,OGB/2024/25,subject_1,2024-09-29,Good performance,8
233,OGB/2024/25,subject_6,2024-09-13,Good performance,8
234,OGB/2024/25,subject_28,2024-10-02,Excellent performance,10
235,OGB/2024/25,subject_18,2024-09-18,Excellent performance,10
236,OGB/2024/25,subject_21,2024-10-06,Very bad performance,0
237,OGB/2024/25,subject_24,2024-09-08,Very bad performance,0
238,OGB/2024/25,subject_15,2024-09-12,Below average performance,2
239,OGB/2024/25,subject_13,2024-10-04,Below average performance,2
240,OGB/2024/26,subject_18,2024-09-28,Below average performance,2
241,OGB/2024/26,subject_26,2024-09-20,Very bad performance,0
242,OGB/2024/26,subject_16,2024-09-16,Excellent performance,10
243,OGB/2024/26,subject_24,2024-09-13,Very bad performance,0
244,OGB/2024/26,subject_21,2024-09-17,Very bad performance,0
245,OGB/2024/26,subject_13,2024-09-10,Excellent performance,10
246,OGB/2024/26,subject_27,2024-09-28,Average performance,4
247,OGB/2024/26,subject_25,2024-09-23,Below average performance,2
248,OGB/2024/26,subject_6,2024-09-13,Average performance,4
249,OGB/2024/27,subject_26,2024-09-10,Very bad performance,0
250,OGB/2024/27,subject_23,2024-10-04,Very bad performance,0
251,OGB/2024/27,subject_1,2024-09-28,Excellent performance,10
252,OGB/2024/27,subject_16,2024-09-13,Excellent performance,10
253,OGB/2024/27,subject_28,2024-09-14,Very bad performance,0
254,OGB/2024/27,subject_25,2024-09-21,Fair performance,6
255,OGB/2024/27,subject_15,2024-09-07,Excellent performance,10
256,OGB/2024/27,subject_24,2024-09-22,Excellent performance,10
257,OGB/2024/27,subject_27,2024-09-07,Excellent performance,10
258,OGB/2024/28,subject_6,2024-09-14,Below average performance,2
259,OGB/2024/28,subject_29,2024-09-20,Very bad performance,0
260,OGB/2024/28,subject_13,2024-09-25,Very bad performance,0
261,OGB/2024/28,subject_22,2024-09-07,Excellent performance,10
262,OGB/2024/28,subject_24,2024-09-22,Excellent performance,10
263,OGB/2024/28,subject_26,2024-09-27,Very bad performance,0
264,OGB/2024/28,subject_1,2024-09-19,Fair performance,6
265,OGB/2024/28,subject_16,2024-09-23,Below average performance,2
266,OGB/2024/28,subject_17,2024-09-27,Excellent performance,10
267,OGB/2024/28,subject_5,2024-10-02,Below average performance,2
268,OGB/2024/29,subject_3,2024-09-10,Good performance,8
269,OGB/2024/29,subject_5,2024-09-26,Below average performance,2
270,OGB/2024/29,subject_8,2024-09-26,Fair performance,6
271,OGB/2024/29,subject_6,2024-09-30,Fair performance,6
272,OGB/2024/29,subject_2,2024-09-28,Excellent performance,10
273,OGB/2024/29,subject_1,2024-09-19,Good performance,8
274,OGB/2024/29,subject_9,2024-09-13,Excellent performance,10
275,OGB/2024/29,subject_7,2024-09-23,Excellent performance,10
276,OGB/2024/29,subject_4,2024-09-09,Below average performance,2
277,OGB/2024/29,subject_10,2024-09-16,Excellent performance,10
278,OGB/2024/30,subject_4,2024-09-29,Very bad performance,0
279,OGB/2024/30,subject_6,2024-09-11,Average performance,4
280,OGB/2024/30,subject_2,2024-09-24,Very bad performance,0
281,OGB/2024/30,subject_1,2024-10-02,Very bad performance,0
282,OGB/2024/30,subject_10,2024-09-17,Excellent performance,10
283,OGB/2024/30,subject_9,2024-10-02,Excellent performance,10
284,OGB/2024/30,subject_8,2024-09-29,Below average performance,2
285,OGB/2024/30,subject_5,2024-09-28,Excellent performance,10
286,OGB/2024/31,subject_5,2024-09-17,Fair performance,6
287,OGB/2024/31,subject_8,2024-09-13,Fair performance,6
288,OGB/2024/31,subject_6,2024-09-10,Excellent performance,10
289,OGB/2024/31,subject_10,2024-09-17,Excellent performance,10
290,OGB/2024/31,subject_3,2024-09-14,Excellent performance,10
291,OGB/2024/31,subject_2,2024-09-12,Excellent performance,10
292,OGB/2024/31,subject_4,2024-09-23,Good performance,8
293,OGB/2024/31,subject_7,2024-09-26,Fair performance,6
294,OGB/2024/31,subject_1,2024-09-27,Below average performance,2
295,OGB/2024/31,subject_9,2024-09-17,Very bad performance,0
296,OGB/2024/32,subject_1,2024-09-28,Good performance,8
297,OGB/2024/32,subject_5,2024-09-24,Excellent performance,10
298,OGB/2024/32,subject_6,2024-10-04,Excellent performance,10
299,OGB/2024/32,subject_8,2024-09-11,Fair performance,6
300,OGB/2024/32,subject_7,2024-09-18,Good performance,8
301,OGB/2024/32,subject_10,2024-09-12,Excellent performance,10
302,OGB/2024/32,subject_3,2024-09-29,Fair performance,6
303,OGB/2024/32,subject_9,2024-09-26,Good performance,8
304,OGB/2024/33,subject_2,2024-09-10,Excellent performance,10
305,OGB/2024/33,subject_10,2024-09-18,Excellent performance,10
306,OGB/2024/33,subject_9,2024-09-09,Excellent performance,10
307,OGB/2024/33,subject_7,2024-10-05,Fair performance,6
308,OGB/2024/33,subject_8,2024-10-03,Excellent performance,10
309,OGB/2024/33,subject_5,2024-09-29,Below average performance,2
310,OGB/2024/33,subject_1,2024-09-25,Excellent performance,10
311,OGB/2024/33,subject_3,2024-09-21,Excellent performance,10
312,OGB/2024/33,subject_6,2024-10-07,Excellent performance,10
313,OGB/2024/33,subject_4,2024-09-10,Excellent performance,10
314,OGB/2024/34,subject_8,2024-09-18,Excellent performance,10
315,OGB/2024/34,subject_2,2024-09-13,Very bad performance,0
316,OGB/2024/34,subject_1,2024-10-06,Excellent performance,10
317,OGB/2024/34,subject_9,2024-10-03,Below average performance,2
318,OGB/2024/34,subject_4,2024-09-16,Fair performance,6
319,OGB/2024/34,subject_7,2024-09-17,Excellent performance,10
320,OGB/2024/34,subject_10,2024-09-10,Very bad performance,0
321,OGB/2024/34,subject_6,2024-09-21,Good performance,8
322,OGB/2024/34,subject_5,2024-10-06,Good performance,8
323,OGB/2024/34,subject_3,2024-09-15,Fair performance,6
324,OGB/2024/35,subject_27,2024-09-16,Excellent performance,10
325,OGB/2024/35,subject_13,2024-09-11,Below average performance,2
326,OGB/2024/35,subject_22,2024-09-09,Good performance,8
327,OGB/2024/35,subject_18,2024-10-01,Very bad performance,0
328,OGB/2024/35,subject_28,2024-10-05,Very bad performance,0
329,OGB/2024/35,subject_1,2024-10-07,Good performance,8
330,OGB/2024/35,subject_29,2024-09-09,Excellent performance,10
331,OGB/2024/35,subject_2,2024-09-21,Very bad performance,0
332,OGB/2024/35,subject_24,2024-09-18,Below average performance,2
333,OGB/2024/35,subject_26,2024-09-24,Below average performance,2
334,OGB/2024/36,subject_5,2024-09-20,Below average performance,2
335,OGB/2024/36,subject_23,2024-09-07,Fair performance,6
336,OGB/2024/36,subject_18,2024-10-02,Average performance,4
337,OGB/2024/36,subject_24,2024-10-01,Excellent performance,10
338,OGB/2024/36,subject_16,2024-10-04,Fair performance,6
339,OGB/2024/36,subject_28,2024-10-07,Very bad performance,0
340,OGB/2024/36,subject_22,2024-09-18,Excellent performance,10
341,OGB/2024/36,subject_1,2024-09-17,Excellent performance,10
342,OGB/2024/37,subject_24,2024-09-27,Excellent performance,10
343,OGB/2024/37,subject_21,2024-09-09,Very bad performance,0
344,OGB/2024/37,subject_2,2024-10-05,Below average performance,2
345,OGB/2024/37,subject_22,2024-09-18,Excellent performance,10
346,OGB/2024/37,subject_17,2024-10-03,Fair performance,6
347,OGB/2024/37,subject_13,2024-09-21,Good performance,8
348,OGB/2024/37,subject_15,2024-09-27,Fair performance,6
349,OGB/2024/37,subject_16,2024-10-04,Very bad performance,0
350,OGB/2024/37,subject_26,2024-09-09,Fair performance,6
351,OGB/2024/38,subject_26,2024-09-30,Excellent performance,10
352,OGB/2024/38,subject_21,2024-10-03,Excellent performance,10
353,OGB/2024/38,subject_5,2024-09-07,Below average performance,2
354,OGB/2024/38,subject_22,2024-09-28,Good performance,8
355,OGB/2024/38,subject_27,2024-09-11,Fair performance,6
356,OGB/2024/38,subject_24,2024-09-09,Very bad performance,0
357,OGB/2024/38,subject_2,2024-09-22,Excellent performance,10
358,OGB/2024/38,subject_15,2024-09-12,Good performance,8
359,OGB/2024/39,subject_14,2024-09-11,Good performance,8
360,OGB/2024/39,subject_24,2024-09-27,Fair performance,6
361,OGB/2024/39,subject_26,2024-09-20,Very bad performance,0
362,OGB/2024/39,subject_21,2024-10-04,Fair performance,6
363,OGB/2024/39,subject_16,2024-10-01,Very bad performance,0
364,OGB/2024/39,subject_25,2024-10-07,Excellent performance,10
365,OGB/2024/39,subject_23,2024-09-25,Excellent performance,10
366,OGB/2024/39,subject_18,2024-09-08,Fair performance,6
367,OGB/2024/40,subject_5,2024-09-17,Excellent performance,10
368,OGB/2024/40,subject_6,2024-09-21,Very bad performance,0
369,OGB/2024/40,subject_1,2024-09-18,Very bad performance,0
370,OGB/2024/40,subject_4,2024-09-21,Very bad performance,0
371,OGB/2024/40,subject_3,2024-09-17,Excellent performance,10
372,OGB/2024/40,subject_9,2024-09-09,Good performance,8
373,OGB/2024/40,subject_7,2024-09-19,Good performance,8
374,OGB/2024/40,subject_8,2024-09-14,Excellent performance,10
375,OGB/2024/40,subject_10,2024-09-19,Good performance,8
376,OGB/2024/40,subject_2,2024-09-25,Very bad performance,0
377,OGB/2024/41,subject_1,2024-10-03,Excellent performance,10
378,OGB/2024/41,subject_21,2024-10-04,Good performance,8
379,OGB/2024/41,subject_22,2024-09-27,Excellent performance,10
380,OGB/2024/41,subject_14,2024-10-06,Very bad performance,0
381,OGB/2024/41,subject_15,2024-10-04,Very bad performance,0
382,OGB/2024/41,subject_28,2024-09-26,Fair performance,6
383,OGB/2024/41,subject_18,2024-09-21,Excellent performance,10
384,OGB/2024/41,subject_6,2024-10-06,Below average performance,2
385,OGB/2024/41,subject_24,2024-09-21,Fair performance,6
386,OGB/2024/41,subject_2,2024-10-04,Below average performance,2
387,OGB/2024/42,subject_14,2024-09-08,Excellent performance,10
388,OGB/2024/42,subject_2,2024-09-20,Excellent performance,10
389,OGB/2024/42,subject_25,2024-09-12,Very bad performance,0
390,OGB/2024/42,subject_16,2024-09-15,Excellent performance,10
391,OGB/2024/42,subject_6,2024-09-14,Below average performance,2
392,OGB/2024/42,subject_29,2024-10-01,Very bad performance,0
393,OGB/2024/42,subject_21,2024-09-10,Good performance,8
394,OGB/2024/42,subject_17,2024-09-10,Very bad performance,0
395,OGB/2024/43,subject_28,2024-09-20,Fair performance,6
396,OGB/2024/43,subject_1,2024-09-25,Below average performance,2
397,OGB/2024/43,subject_27,2024-09-15,Very bad performance,0
398,OGB/2024/43,subject_16,2024-09-25,Good performance,8
399,OGB/2024/43,subject_5,2024-09-28,Below average performance,2
400,OGB/2024/43,subject_18,2024-09-24,Below average performance,2
401,OGB/2024/43,subject_13,2024-10-06,Excellent performance,10
402,OGB/2024/43,subject_14,2024-09-16,Good performance,8
403,OGB/2024/44,subject_21,2024-09-11,Excellent performance,10
404,OGB/2024/44,subject_27,2024-09-20,Very bad performance,0
405,OGB/2024/44,subject_2,2024-09-20,Below average performance,2
406,OGB/2024/44,subject_1,2024-09-28,Excellent performance,10
407,OGB/2024/44,subject_26,2024-09-24,Good performance,8
408,OGB/2024/44,subject_29,2024-09-09,Below average performance,2
409,OGB/2024/44,subject_15,2024-10-04,Excellent performance,10
410,OGB/2024/44,subject_5,2024-09-08,Very bad performance,0
411,OGB/2024/44,subject_24,2024-09-07,Below average performance,2
412,OGB/2024/44,subject_6,2024-09-18,Below average performance,2
413,OGB/2024/45,subject_10,2024-09-18,Excellent performance,10
414,OGB/2024/45,subject_8,2024-09-22,Fair performance,6
415,OGB/2024/45,subject_4,2024-09-15,Excellent performance,10
416,OGB/2024/45,subject_6,2024-09-11,Excellent performance,10
417,OGB/2024/45,subject_2,2024-09-15,Very bad performance,0
418,OGB/2024/45,subject_1,2024-09-17,Excellent performance,10
419,OGB/2024/45,subject_9,2024-09-19,Good performance,8
420,OGB/2024/45,subject_3,2024-09-19,Excellent performance,10
421,OGB/2024/46,subject_10,2024-09-28,Good performance,8
422,OGB/2024/46,subject_6,2024-10-04,Fair performance,6
423,OGB/2024/46,subject_7,2024-10-01,Good performance,8
424,OGB/2024/46,subject_5,2024-10-04,Very bad performance,0
425,OGB/2024/46,subject_3,2024-09-10,Very bad performance,0
426,OGB/2024/46,subject_9,2024-09-26,Very bad performance,0
427,OGB/2024/46,subject_4,2024-09-08,Excellent performance,10
428,OGB/2024/46,subject_2,2024-09-27,Fair performance,6
429,OGB/2024/46,subject_1,2024-10-07,Excellent performance,10
430,OGB/2024/47,subject_5,2024-10-01,Fair performance,6
431,OGB/2024/47,subject_9,2024-09-30,Excellent performance,10
432,OGB/2024/47,subject_3,2024-10-06,Excellent performance,10
433,OGB/2024/47,subject_1,2024-09-17,Fair performance,6
434,OGB/2024/47,subject_2,2024-10-01,Good performance,8
435,OGB/2024/47,subject_8,2024-09-17,Average performance,4
436,OGB/2024/47,subject_4,2024-10-04,Excellent performance,10
437,OGB/2024/47,subject_7,2024-09-30,Below average performance,2
438,OGB/2024/48,subject_9,2024-09-10,Very bad performance,0
439,OGB/2024/48,subject_5,2024-09-27,Fair performance,6
440,OGB/2024/48,subject_6,2024-09-29,Excellent performance,10
441,OGB/2024/48,subject_10,2024-10-04,Below average performance,2
442,OGB/2024/48,subject_4,2024-09-24,Excellent performance,10
443,OGB/2024/48,subject_3,2024-09-20,Fair performance,6
444,OGB/2024/48,subject_8,2024-09-07,Excellent performance,10
