academic_record_id,student_id,subject_id,attendance_percentage,assignment_score,exam_score,final_grade
70,OGB/2024/7,subject_14,94.19,51.3,85.33,82.74
71,OGB/2024/7,subject_21,59.5,55.63,80.94,68.94
72,OGB/2024/7,subject_24,83.48,44.3,68.44,69.5
73,OGB/2024/7,subject_6,94.15,62.67,88.31,87.06
74,OGB/2024/7,subject_2,64.57,79.6,63.34,66.95
75,OGB/2024/7,subject_16,63.41,75.12,71.48,71.23
76,OGB/2024/8,subject_14,96.94,50.01,52.84,61.94
77,OGB/2024/8,subject_2,94.72,94.9,65.07,76.23
78,OGB/2024/8,subject_26,67.54,60.08,61.11,60.26
79,OGB/2024/8,subject_28,88.02,86.9,98.75,91.37
80,OGB/2024/8,subject_17,83.59,57.32,66.09,69.65
81,OGB/2024/8,subject_27,63.57,70.85,99.05,86.52
82,OGB/2024/8,subject_24,85.15,80.73,83.19,80.49
83,OGB/2024/8,subject_15,55.47,57.05,66.38,61.23
84,OGB/2024/8,subject_1,70.13,97.15,65.94,71.3
85,OGB/2024/9,subject_1,67.76,76.95,91.63,81.13
86,OGB/2024/9,subject_2,73.42,65.43,88.57,79.42
87,OGB/2024/9,subject_27,59.76,95.98,74.0,76.64
88,OGB/2024/9,subject_26,52.68,60.28,87.37,72.68
89,OGB/2024/9,subject_14,98.73,89.31,52.4,70.94
90,OGB/2024/9,subject_21,97.22,57.46,93.28,85.27
91,OGB/2024/9,subject_23,54.46,86.01,83.51,81.05
92,OGB/2024/9,subject_29,74.34,57.32,96.5,85.4
93,OGB/2024/9,subject_25,54.83,98.77,61.37,69.01
94,OGB/2024/9,subject_17,51.01,48.72,93.66,78.1
95,OGB/2024/10,subject_6,60.4,45.02,66.7,63.84
96,OGB/2024/10,subject_9,76.01,82.38,95.01,88.5
97,OGB/2024/10,subject_10,75.72,72.88,65.13,71.6
98,OGB/2024/10,subject_7,68.59,57.42,41.11,51.05
99,OGB/2024/10,subject_2,54.51,65.17,92.49,77.47
100,OGB/2024/10,subject_4,58.24,53.61,58.2,54.77
101,OGB/2024/10,subject_8,75.47,45.51,73.91,70.41
102,OGB/2024/10,subject_1,71.99,55.37,72.98,66.71
103,OGB/2024/11,subject_2,87.0,73.62,48.41,60.66
104,OGB/2024/11,subject_6,60.95,52.6,75.77,67.76
105,OGB/2024/11,subject_10,68.56,84.03,71.92,74.82
106,OGB/2024/11,subject_7,76.43,78.21,85.54,81.16
107,OGB/2024/11,subject_8,64.0,97.91,90.27,85.26
108,OGB/2024/11,subject_1,73.04,58.67,81.54,77.02
109,OGB/2024/11,subject_3,59.25,55.85,80.45,71.02
110,OGB/2024/11,subject_4,96.17,47.44,81.28,79.4
111,OGB/2024/11,subject_5,77.0,66.53,47.68,55.45
112,OGB/2024/12,subject_14,62.26,81.0,67.11,69.9
113,OGB/2024/12,subject_15,96.98,56.27,46.18,60.35
114,OGB/2024/12,subject_29,66.81,97.65,72.0,75.57
115,OGB/2024/12,subject_21,60.83,56.2,49.05,52.04
116,OGB/2024/12,subject_16,87.6,95.23,41.96,60.2
117,OGB/2024/12,subject_28,94.49,67.46,59.24,66.97
118,OGB/2024/12,subject_23,63.0,99.62,57.16,68.88
119,OGB/2024/12,subject_13,64.14,44.07,40.23,48.48
120,OGB/2024/12,subject_27,84.25,74.61,75.44,77.15
121,OGB/2024/12,subject_18,66.69,64.44,40.27,51.46
122,OGB/2024/13,subject_24,96.18,80.39,51.68,67.15
123,OGB/2024/13,subject_23,51.6,86.69,91.11,82.29
124,OGB/2024/13,subject_25,75.95,42.49,91.01,78.22
125,OGB/2024/13,subject_17,84.0,72.01,75.95,74.87
126,OGB/2024/13,subject_29,50.82,79.53,83.74,76.38
127,OGB/2024/13,subject_6,61.73,98.53,54.6,62.23
128,OGB/2024/13,subject_27,50.66,94.31,51.35,62.08
129,OGB/2024/13,subject_22,64.02,70.43,51.46,58.42
130,OGB/2024/13,subject_13,89.51,48.99,98.01,85.78
131,OGB/2024/13,subject_18,88.77,68.91,92.49,89.59
132,OGB/2024/14,subject_17,86.83,91.87,89.79,88.34
133,OGB/2024/14,subject_16,93.63,90.55,89.47,92.03
134,OGB/2024/14,subject_15,94.73,74.69,55.72,66.04
135,OGB/2024/14,subject_21,50.37,47.66,99.68,80.83
136,OGB/2024/14,subject_1,61.22,87.88,53.25,61.49
137,OGB/2024/14,subject_28,98.76,98.12,91.87,96.6
138,OGB/2024/14,subject_27,64.21,80.57,79.57,74.06
139,OGB/2024/14,subject_26,56.14,94.62,67.68,73.27
140,OGB/2024/14,subject_29,83.0,76.45,72.13,77.37
141,OGB/2024/14,subject_18,91.34,86.95,87.65,87.67
142,OGB/2024/15,subject_26,58.79,49.06,69.09,60.54
143,OGB/2024/15,subject_18,92.76,87.81,80.78,85.38
144,OGB/2024/15,subject_27,52.38,63.05,50.64,51.57
145,OGB/2024/15,subject_21,63.45,79.12,53.86,61.68
146,OGB/2024/15,subject_14,99.84,45.04,86.9,82.49
147,OGB/2024/15,subject_29,59.54,72.07,93.28,79.65
148,OGB/2024/15,subject_28,76.87,40.62,81.24,70.91
149,OGB/2024/15,subject_16,99.94,74.34,53.85,69.9
150,OGB/2024/15,subject_2,68.1,61.97,66.33,66.33
151,OGB/2024/16,subject_1,89.32,75.55,53.2,65.66
152,OGB/2024/16,subject_9,92.18,40.01,62.26,64.73
153,OGB/2024/16,subject_3,74.29,56.76,74.73,70.49
154,OGB/2024/16,subject_6,50.09,85.19,62.93,67.68
155,OGB/2024/16,subject_2,68.73,46.55,93.32,79.1
156,OGB/2024/16,subject_8,59.08,57.25,53.46,56.61
157,OGB/2024/16,subject_5,58.25,84.0,62.36,63.33
158,OGB/2024/16,subject_4,56.36,50.73,92.68,74.97
159,OGB/2024/17,subject_10,74.75,59.02,50.32,54.55
160,OGB/2024/17,subject_3,63.44,96.19,77.06,77.52
161,OGB/2024/17,subject_6,54.65,81.43,45.06,56.19
162,OGB/2024/17,subject_7,79.04,53.42,48.52,53.15
163,OGB/2024/17,subject_5,66.43,68.77,78.49,77.13
164,OGB/2024/17,subject_1,89.52,88.78,91.36,91.45
165,OGB/2024/17,subject_9,54.44,57.6,79.18,68.4
166,OGB/2024/17,subject_8,66.18,47.24,79.16,71.07
167,OGB/2024/18,subject_10,55.4,56.58,95.29,80.96
168,OGB/2024/18,subject_8,90.69,81.45,99.97,91.88
169,OGB/2024/18,subject_2,64.62,96.61,40.07,58.84
170,OGB/2024/18,subject_4,65.08,98.68,88.82,86.17
171,OGB/2024/18,subject_7,90.76,64.39,79.87,78.23
172,OGB/2024/18,subject_9,57.28,77.54,77.79,74.33
173,OGB/2024/18,subject_1,59.42,50.59,69.69,63.42
174,OGB/2024/18,subject_3,68.4,78.89,80.1,80.36
175,OGB/2024/18,subject_6,80.5,47.85,99.17,86.55
176,OGB/2024/18,subject_5,56.31,84.6,78.26,74.41
177,OGB/2024/19,subject_25,90.2,82.31,45.82,59.12
178,OGB/2024/19,subject_14,98.86,67.03,59.27,66.95
179,OGB/2024/19,subject_24,82.43,49.9,86.34,78.77
180,OGB/2024/19,subject_29,90.29,67.49,51.86,62.05
181,OGB/2024/19,subject_27,71.27,72.89,68.36,70.15
182,OGB/2024/19,subject_2,71.85,46.95,50.98,56.94
183,OGB/2024/19,subject_13,53.04,80.33,93.37,84.61
184,OGB/2024/19,subject_18,57.05,82.1,57.33,60.84
185,OGB/2024/19,subject_6,57.08,85.02,65.71,67.19
186,OGB/2024/19,subject_15,99.05,79.39,59.18,68.56
187,OGB/2024/20,subject_15,50.66,59.94,78.69,69.99
188,OGB/2024/20,subject_16,59.29,66.33,43.9,53.87
189,OGB/2024/20,subject_21,98.8,60.49,84.54,81.39
190,OGB/2024/20,subject_5,88.79,80.63,90.61,86.12
191,OGB/2024/20,subject_26,56.19,64.01,70.79,65.4
192,OGB/2024/20,subject_2,62.19,56.24,99.9,81.98
193,OGB/2024/20,subject_6,77.22,89.09,41.26,58.84
194,OGB/2024/20,subject_1,70.87,67.22,70.59,68.16
195,OGB/2024/20,subject_17,55.89,98.88,50.58,62.91
196,OGB/2024/21,subject_6,62.91,43.11,72.23,63.69
197,OGB/2024/21,subject_3,67.82,76.97,61.88,66.59
198,OGB/2024/21,subject_1,73.54,55.42,54.62,59.2
199,OGB/2024/21,subject_10,67.28,42.08,99.31,80.24
200,OGB/2024/21,subject_9,85.39,80.11,79.85,83.21
201,OGB/2024/21,subject_4,85.23,81.98,83.92,85.56
202,OGB/2024/21,subject_7,87.75,41.05,62.32,62.07
203,OGB/2024/21,subject_2,63.52,76.16,50.95,58.66
204,OGB/2024/21,subject_8,53.62,45.87,67.16,61.38
205,OGB/2024/21,subject_5,92.67,95.74,75.02,85.12
206,OGB/2024/22,subject_9,75.05,67.54,92.39,81.88
207,OGB/2024/22,subject_4,97.52,94.42,93.41,96.39
208,OGB/2024/22,subject_3,70.52,53.17,91.13,80.11
209,OGB/2024/22,subject_5,66.04,78.8,41.39,56.6
210,OGB/2024/22,subject_6,93.51,98.35,71.89,82.55
211,OGB/2024/22,subject_7,85.51,44.03,66.06,65.82
212,OGB/2024/22,subject_8,91.59,70.37,95.09,86.53
213,OGB/2024/22,subject_10,86.06,60.19,90.19,84.92
214,OGB/2024/23,subject_16,98.08,66.04,93.58,88.19
215,OGB/2024/23,subject_14,94.9,62.13,53.37,64.2
216,OGB/2024/23,subject_28,93.39,40.03,96.09,83.11
217,OGB/2024/23,subject_6,83.96,51.6,59.18,64.74
218,OGB/2024/23,subject_17,52.03,60.9,89.32,73.25
219,OGB/2024/23,subject_13,83.32,77.77,90.22,87.89
220,OGB/2024/23,subject_27,85.91,74.02,90.96,85.15
221,OGB/2024/23,subject_2,69.49,83.67,66.58,68.84
222,OGB/2024/24,subject_9,82.84,47.35,89.15,79.07
223,OGB/2024/24,subject_4,90.94,64.97,63.6,68.23
224,OGB/2024/24,subject_7,73.15,58.6,63.85,63.12
225,OGB/2024/24,subject_8,67.88,70.53,46.87,53.5
226,OGB/2024/24,subject_2,52.78,74.22,64.53,64.54
227,OGB/2024/24,subject_3,79.96,76.95,98.16,88.96
228,OGB/2024/24,subject_10,79.23,64.4,49.26,57.15
229,OGB/2024/24,subject_6,60.04,76.04,50.33,59.87
230,OGB/2024/24,subject_5,54.18,64.93,82.79,71.73
231,OGB/2024/24,subject_1,74.83,86.2,66.64,72.98
232,OGB/2024/25,subject_4,97.44,96.59,68.67,81.64
233,OGB/2024/25,subject_10,52.26,52.88,84.79,70.91
234,OGB/2024/25,subject_9,60.25,95.85,90.38,87.13
235,OGB/2024/25,subject_8,54.99,80.35,88.44,81.11
236,OGB/2024/25,subject_6,96.03,76.66,93.19,91.22
237,OGB/2024/25,subject_1,81.88,77.66,63.57,70.12
238,OGB/2024/25,subject_5,65.59,58.09,87.31,77.09
239,OGB/2024/25,subject_7,50.31,71.38,97.42,84.92
240,OGB/2024/25,subject_2,95.08,58.35,87.95,80.61
241,OGB/2024/26,subject_16,54.92,77.3,77.64,70.55
242,OGB/2024/26,subject_6,61.19,63.24,96.87,85.89
243,OGB/2024/26,subject_15,70.94,53.9,76.44,70.1
244,OGB/2024/26,subject_24,84.01,90.45,95.89,94.85
245,OGB/2024/26,subject_17,74.89,69.69,49.79,60.52
246,OGB/2024/26,subject_13,59.76,62.41,66.78,61.95
247,OGB/2024/26,subject_26,62.94,81.9,64.67,68.93
248,OGB/2024/26,subject_18,87.17,97.41,77.72,83.05
249,OGB/2024/27,subject_3,93.05,74.93,55.31,69.35
250,OGB/2024/27,subject_7,86.35,50.46,81.35,76.74
251,OGB/2024/27,subject_2,54.37,65.83,72.28,69.86
252,OGB/2024/27,subject_6,71.13,58.08,71.52,66.19
253,OGB/2024/27,subject_9,78.91,94.29,60.41,71.76
254,OGB/2024/27,subject_8,75.64,44.26,73.72,66.43
255,OGB/2024/27,subject_5,81.89,41.01,99.69,82.72
256,OGB/2024/27,subject_4,61.95,46.95,63.63,59.46
257,OGB/2024/28,subject_21,79.97,51.96,80.61,72.1
258,OGB/2024/28,subject_17,78.43,81.38,58.46,67.75
259,OGB/2024/28,subject_18,97.51,61.84,84.47,80.07
260,OGB/2024/28,subject_2,52.15,51.66,96.63,80.73
261,OGB/2024/28,subject_5,79.42,92.48,71.68,75.67
262,OGB/2024/28,subject_23,84.64,85.84,95.99,89.02
263,OGB/2024/28,subject_16,64.83,56.08,95.91,79.17
264,OGB/2024/28,subject_26,70.29,78.54,80.52,76.29
265,OGB/2024/29,subject_4,64.54,70.9,41.19,52.17
266,OGB/2024/29,subject_6,50.3,90.7,68.71,68.0
267,OGB/2024/29,subject_5,93.47,74.96,82.55,83.12
268,OGB/2024/29,subject_8,76.5,99.68,86.92,89.49
269,OGB/2024/29,subject_3,58.46,85.79,54.63,61.39
270,OGB/2024/29,subject_2,91.34,72.31,75.9,76.12
271,OGB/2024/29,subject_10,78.4,53.8,80.16,76.07
272,OGB/2024/29,subject_1,91.43,81.18,60.2,73.14
273,OGB/2024/29,subject_9,95.27,92.73,77.06,82.89
274,OGB/2024/30,subject_2,85.01,87.59,66.71,74.65
275,OGB/2024/30,subject_14,91.5,62.07,78.41,77.31
276,OGB/2024/30,subject_21,71.73,42.82,46.63,50.99
277,OGB/2024/30,subject_15,54.19,51.72,66.27,61.46
278,OGB/2024/30,subject_17,61.43,45.36,67.64,60.12
279,OGB/2024/30,subject_29,96.3,99.63,73.59,82.45
280,OGB/2024/30,subject_23,77.55,54.99,74.27,71.88
281,OGB/2024/30,subject_26,72.37,83.9,77.96,75.39
282,OGB/2024/31,subject_1,60.06,59.3,51.05,56.62
283,OGB/2024/31,subject_4,63.09,51.66,62.18,59.94
284,OGB/2024/31,subject_5,88.72,50.38,93.37,82.78
285,OGB/2024/31,subject_2,65.5,47.73,44.13,49.96
286,OGB/2024/31,subject_10,71.24,62.79,51.22,58.21
287,OGB/2024/31,subject_9,88.33,87.28,79.82,82.71
288,OGB/2024/31,subject_7,57.1,55.14,64.08,62.69
289,OGB/2024/31,subject_3,66.37,85.81,93.44,87.55
290,OGB/2024/31,subject_6,52.51,63.9,75.07,65.66
291,OGB/2024/32,subject_10,63.19,78.66,59.37,65.84
292,OGB/2024/32,subject_7,88.42,56.67,97.18,89.92
293,OGB/2024/32,subject_1,96.0,64.39,80.37,82.94
294,OGB/2024/32,subject_5,68.13,79.02,90.34,81.87
295,OGB/2024/32,subject_9,69.47,64.47,97.47,82.37
296,OGB/2024/32,subject_4,84.82,44.72,54.55,56.62
297,OGB/2024/32,subject_6,53.48,51.4,53.68,52.58
298,OGB/2024/32,subject_2,57.98,70.22,66.47,68.51
299,OGB/2024/33,subject_2,52.19,48.75,83.15,69.14
300,OGB/2024/33,subject_7,76.36,40.53,48.2,54.65
301,OGB/2024/33,subject_1,77.72,88.82,94.67,90.88
302,OGB/2024/33,subject_10,82.96,71.52,73.5,73.33
303,OGB/2024/33,subject_3,58.0,88.8,92.62,86.67
304,OGB/2024/33,subject_8,81.66,69.73,60.77,66.45
305,OGB/2024/33,subject_9,59.7,88.15,80.88,76.68
306,OGB/2024/33,subject_6,68.93,95.53,68.95,76.85
307,OGB/2024/33,subject_4,69.96,47.72,52.46,57.97
308,OGB/2024/33,subject_5,86.99,52.53,40.88,54.84
309,OGB/2024/34,subject_6,75.91,50.02,80.34,70.57
310,OGB/2024/34,subject_24,63.28,84.1,60.22,64.7
311,OGB/2024/34,subject_5,58.19,54.74,78.02,69.63
312,OGB/2024/34,subject_18,73.97,55.24,45.85,53.84
313,OGB/2024/34,subject_27,61.67,72.64,60.9,62.09
314,OGB/2024/34,subject_21,89.3,90.52,75.43,82.59
315,OGB/2024/34,subject_16,87.25,75.4,53.94,67.16
316,OGB/2024/34,subject_1,76.05,89.8,89.35,89.24
317,OGB/2024/34,subject_25,51.43,82.93,62.06,65.4
318,OGB/2024/35,subject_4,59.07,42.39,70.89,63.44
319,OGB/2024/35,subject_9,70.56,98.57,57.5,70.28
320,OGB/2024/35,subject_6,76.28,77.72,93.41,85.64
321,OGB/2024/35,subject_7,59.85,85.06,86.93,81.22
322,OGB/2024/35,subject_10,99.56,94.9,62.03,78.69
323,OGB/2024/35,subject_8,70.55,55.11,87.41,78.36
324,OGB/2024/35,subject_5,96.79,81.32,69.72,74.7
325,OGB/2024/35,subject_1,89.03,86.62,97.57,94.58
326,OGB/2024/35,subject_3,90.17,73.25,60.68,70.2
327,OGB/2024/35,subject_2,85.13,55.02,87.23,80.88
328,OGB/2024/36,subject_16,78.59,45.8,70.4,65.33
329,OGB/2024/36,subject_5,88.74,42.38,71.28,68.88
330,OGB/2024/36,subject_14,88.31,63.99,76.08,74.65
331,OGB/2024/36,subject_6,69.0,72.99,56.78,59.96
332,OGB/2024/36,subject_28,66.12,69.89,55.61,61.54
333,OGB/2024/36,subject_1,95.02,80.54,85.78,89.37
334,OGB/2024/36,subject_25,88.56,83.01,41.79,58.79
335,OGB/2024/36,subject_18,59.7,47.78,94.26,80.12
336,OGB/2024/36,subject_15,71.14,95.91,41.91,61.19
337,OGB/2024/36,subject_29,67.01,85.21,81.0,81.69
338,OGB/2024/37,subject_18,91.94,41.69,95.26,86.07
339,OGB/2024/37,subject_21,55.56,80.58,49.98,56.15
340,OGB/2024/37,subject_26,71.47,61.48,56.48,61.15
341,OGB/2024/37,subject_23,97.83,91.46,57.9,71.19
342,OGB/2024/37,subject_17,85.52,72.69,60.88,68.76
343,OGB/2024/37,subject_25,70.55,52.21,49.52,55.72
344,OGB/2024/37,subject_29,97.09,87.38,95.07,95.93
345,OGB/2024/37,subject_14,79.43,43.49,48.63,52.08
346,OGB/2024/37,subject_24,55.48,62.42,65.13,65.51
347,OGB/2024/38,subject_10,89.33,51.01,56.36,63.08
348,OGB/2024/38,subject_9,87.79,95.38,97.6,96.65
349,OGB/2024/38,subject_1,85.91,46.16,48.04,55.68
350,OGB/2024/38,subject_3,95.95,76.86,84.68,88.31
351,OGB/2024/38,subject_4,97.07,70.21,44.23,58.6
352,OGB/2024/38,subject_2,95.36,66.5,67.94,70.85
353,OGB/2024/38,subject_5,60.13,81.27,76.93,72.63
354,OGB/2024/38,subject_6,52.52,87.65,48.54,58.57
355,OGB/2024/39,subject_23,88.64,96.45,81.06,82.87
356,OGB/2024/39,subject_14,56.53,78.47,89.26,81.56
357,OGB/2024/39,subject_13,94.35,53.48,79.7,79.77
358,OGB/2024/39,subject_27,77.11,73.99,56.93,65.22
359,OGB/2024/39,subject_6,68.74,58.32,91.08,82.64
360,OGB/2024/39,subject_26,75.45,58.9,95.92,83.16
361,OGB/2024/39,subject_5,92.36,57.97,85.68,82.25
362,OGB/2024/39,subject_28,96.18,50.75,69.72,73.77
363,OGB/2024/39,subject_21,83.49,66.01,58.95,66.77
364,OGB/2024/39,subject_15,70.47,73.63,44.57,58.38
365,OGB/2024/40,subject_3,98.18,79.53,90.36,89.88
366,OGB/2024/40,subject_5,80.04,57.95,57.19,62.34
367,OGB/2024/40,subject_2,53.01,97.9,41.43,53.82
368,OGB/2024/40,subject_7,89.81,54.02,76.61,72.39
369,OGB/2024/40,subject_8,97.73,45.58,68.59,70.82
370,OGB/2024/40,subject_6,71.4,95.55,82.28,84.03
371,OGB/2024/40,subject_4,91.35,49.79,96.71,83.73
372,OGB/2024/40,subject_1,58.39,87.38,58.79,65.48
373,OGB/2024/40,subject_10,75.53,41.64,47.21,49.05
374,OGB/2024/40,subject_9,57.89,57.16,99.86,82.16
375,OGB/2024/41,subject_3,90.0,90.3,97.15,95.69
376,OGB/2024/41,subject_10,95.89,65.43,95.41,88.07
377,OGB/2024/41,subject_6,95.87,92.89,95.8,94.76
378,OGB/2024/41,subject_4,74.77,95.34,66.42,71.16
379,OGB/2024/41,subject_2,52.35,89.51,73.96,75.24
380,OGB/2024/41,subject_9,97.52,62.48,82.95,80.96
381,OGB/2024/41,subject_5,88.85,61.2,94.51,89.0
382,OGB/2024/41,subject_1,97.61,47.75,60.56,66.61
383,OGB/2024/41,subject_8,77.78,81.27,67.54,75.19
384,OGB/2024/41,subject_7,73.78,86.23,90.56,87.47
385,OGB/2024/42,subject_23,74.38,59.74,87.81,81.08
386,OGB/2024/42,subject_14,67.97,75.38,47.17,57.76
387,OGB/2024/42,subject_13,71.47,54.15,52.32,56.63
388,OGB/2024/42,subject_26,52.85,78.87,44.06,51.96
389,OGB/2024/42,subject_24,53.95,91.48,99.21,90.88
390,OGB/2024/42,subject_25,88.08,40.57,42.93,48.6
391,OGB/2024/42,subject_5,95.19,82.41,44.2,62.47
392,OGB/2024/42,subject_2,64.57,66.05,59.71,61.55
393,OGB/2024/42,subject_29,66.96,75.5,88.6,79.81
394,OGB/2024/42,subject_21,72.21,40.25,72.52,65.51
395,OGB/2024/43,subject_7,73.54,97.89,51.65,68.19
396,OGB/2024/43,subject_4,71.18,94.08,46.64,63.24
397,OGB/2024/43,subject_2,63.75,40.25,45.57,46.02
398,OGB/2024/43,subject_1,84.27,84.86,92.99,92.04
399,OGB/2024/43,subject_8,85.08,98.91,99.89,94.5
400,OGB/2024/43,subject_9,69.39,49.74,54.03,54.05
401,OGB/2024/43,subject_3,99.27,99.51,53.93,69.96
402,OGB/2024/43,subject_10,55.09,82.92,89.15,80.71
403,OGB/2024/43,subject_5,51.56,82.29,70.03,71.79
404,OGB/2024/44,subject_9,68.24,44.14,84.4,75.67
405,OGB/2024/44,subject_1,59.33,65.7,69.87,69.25
406,OGB/2024/44,subject_4,64.09,71.5,71.4,71.16
407,OGB/2024/44,subject_10,95.06,57.82,81.13,81.62
408,OGB/2024/44,subject_5,80.39,69.9,46.77,56.42
409,OGB/2024/44,subject_8,78.4,87.29,48.91,64.05
410,OGB/2024/44,subject_3,77.68,49.47,85.74,77.59
411,OGB/2024/44,subject_7,85.18,90.55,59.18,68.21
412,OGB/2024/45,subject_8,66.15,51.53,57.7,55.83
413,OGB/2024/45,subject_1,60.07,99.19,77.17,80.03
414,OGB/2024/45,subject_6,51.71,90.99,83.49,77.43
415,OGB/2024/45,subject_3,80.7,47.04,80.47,70.91
416,OGB/2024/45,subject_7,73.49,45.88,89.1,77.09
417,OGB/2024/45,subject_10,78.25,69.74,61.38,64.65
418,OGB/2024/45,subject_9,69.13,40.62,56.56,57.54
419,OGB/2024/45,subject_2,65.67,99.25,60.51,69.93
420,OGB/2024/45,subject_5,56.98,91.69,53.81,60.31
421,OGB/2024/45,subject_4,60.38,94.17,90.94,86.6
422,OGB/2024/46,subject_25,97.52,49.81,49.54,61.64
423,OGB/2024/46,subject_15,65.72,44.39,78.95,70.21
424,OGB/2024/46,subject_5,62.11,75.85,95.47,82.15
425,OGB/2024/46,subject_6,78.99,86.59,99.48,94.11
426,OGB/2024/46,subject_28,75.55,54.14,58.72,63.78
427,OGB/2024/46,subject_26,56.72,69.07,41.01,52.3
428,OGB/2024/46,subject_18,67.73,70.46,87.07,80.54
429,OGB/2024/46,subject_22,51.1,66.12,55.6,54.26
430,OGB/2024/47,subject_28,80.43,55.77,44.15,52.72
431,OGB/2024/47,subject_23,95.81,77.8,78.79,79.67
432,OGB/2024/47,subject_26,95.39,57.67,58.01,65.32
433,OGB/2024/47,subject_15,64.25,41.54,42.28,47.96
434,OGB/2024/47,subject_17,84.46,87.05,60.01,68.95
