student_id,subject_id,evaluation_date,comments,point
OGB/2024/9,subject_4,2024-10-12,Fair performance,6
OGB/2024/9,subject_9,2024-09-22,Excellent performance,10
OGB/2024/10,subject_22,2024-10-03,Good performance,8
OGB/2024/10,subject_5,2024-10-14,Fair performance,6
OGB/2024/10,subject_15,2024-10-15,Excellent performance,10
OGB/2024/10,subject_27,2024-09-20,Below average performance,2
OGB/2024/10,subject_28,2024-10-04,Excellent performance,10
OGB/2024/10,subject_6,2024-09-25,Excellent performance,10
OGB/2024/10,subject_18,2024-10-06,Excellent performance,10
OGB/2024/10,subject_26,2024-10-01,Excellent performance,10
OGB/2024/10,subject_14,2024-10-02,Fair performance,6
OGB/2024/10,subject_29,2024-10-16,Good performance,8
OGB/2024/11,subject_3,2024-10-08,Good performance,8
OGB/2024/11,subject_5,2024-10-18,Very bad performance,0
OGB/2024/11,subject_2,2024-10-13,Excellent performance,10
OGB/2024/11,subject_4,2024-09-27,Very bad performance,0
OGB/2024/11,subject_10,2024-10-05,Excellent performance,10
OGB/2024/11,subject_7,2024-09-29,Very bad performance,0
OGB/2024/11,subject_9,2024-10-12,Excellent performance,10
OGB/2024/11,subject_1,2024-10-01,Excellent performance,10
OGB/2024/11,subject_8,2024-09-24,Excellent performance,10
OGB/2024/11,subject_6,2024-10-14,Good performance,8
OGB/2024/12,subject_26,2024-10-01,Very bad performance,0
OGB/2024/12,subject_23,2024-10-18,Below average performance,2
OGB/2024/12,subject_29,2024-09-27,Very bad performance,0
OGB/2024/12,subject_27,2024-10-09,Below average performance,2
OGB/2024/12,subject_22,2024-10-12,Fair performance,6
OGB/2024/12,subject_28,2024-10-10,Fair performance,6
OGB/2024/12,subject_14,2024-10-15,Good performance,8
OGB/2024/12,subject_18,2024-09-29,Good performance,8
OGB/2024/12,subject_6,2024-09-22,Below average performance,2
OGB/2024/12,subject_5,2024-09-20,Excellent performance,10
OGB/2024/13,subject_2,2024-10-13,Fair performance,6
OGB/2024/13,subject_3,2024-10-18,Excellent performance,10
OGB/2024/13,subject_5,2024-10-08,Excellent performance,10
OGB/2024/13,subject_8,2024-10-15,Good performance,8
OGB/2024/13,subject_9,2024-10-11,Very bad performance,0
OGB/2024/13,subject_6,2024-09-27,Excellent performance,10
OGB/2024/13,subject_10,2024-10-16,Very bad performance,0
OGB/2024/13,subject_7,2024-09-18,Fair performance,6
OGB/2024/14,subject_16,2024-10-07,Excellent performance,10
OGB/2024/14,subject_25,2024-09-21,Good performance,8
OGB/2024/14,subject_26,2024-09-18,Below average performance,2
OGB/2024/14,subject_18,2024-09-18,Very bad performance,0
OGB/2024/14,subject_23,2024-10-02,Excellent performance,10
OGB/2024/14,subject_15,2024-10-02,Excellent performance,10
OGB/2024/14,subject_1,2024-10-13,Good performance,8
OGB/2024/14,subject_24,2024-10-01,Excellent performance,10
OGB/2024/14,subject_17,2024-10-06,Good performance,8
OGB/2024/14,subject_21,2024-09-26,Excellent performance,10
OGB/2024/15,subject_8,2024-09-23,Below average performance,2
OGB/2024/15,subject_2,2024-09-19,Excellent performance,10
OGB/2024/15,subject_10,2024-10-12,Good performance,8
OGB/2024/15,subject_4,2024-09-26,Good performance,8
OGB/2024/15,subject_7,2024-09-30,Excellent performance,10
OGB/2024/15,subject_6,2024-09-20,Good performance,8
OGB/2024/15,subject_3,2024-10-03,Fair performance,6
OGB/2024/15,subject_9,2024-10-07,Very bad performance,0
OGB/2024/15,subject_5,2024-10-17,Excellent performance,10
OGB/2024/15,subject_1,2024-09-19,Very bad performance,0
OGB/2024/16,subject_24,2024-10-15,Average performance,4
OGB/2024/16,subject_15,2024-09-28,Fair performance,6
OGB/2024/16,subject_29,2024-09-30,Good performance,8
OGB/2024/16,subject_28,2024-09-29,Very bad performance,0
OGB/2024/16,subject_16,2024-09-27,Below average performance,2
OGB/2024/16,subject_18,2024-09-23,Excellent performance,10
OGB/2024/16,subject_5,2024-09-30,Very bad performance,0
OGB/2024/16,subject_6,2024-10-14,Fair performance,6
OGB/2024/16,subject_27,2024-10-18,Fair performance,6
OGB/2024/16,subject_17,2024-09-21,Excellent performance,10
OGB/2024/17,subject_28,2024-10-01,Excellent performance,10
OGB/2024/17,subject_15,2024-10-13,Very bad performance,0
OGB/2024/17,subject_14,2024-10-11,Excellent performance,10
OGB/2024/17,subject_22,2024-09-21,Excellent performance,10
OGB/2024/17,subject_17,2024-10-10,Below average performance,2
OGB/2024/17,subject_24,2024-09-25,Excellent performance,10
OGB/2024/17,subject_16,2024-10-11,Good performance,8
OGB/2024/17,subject_5,2024-10-16,Below average performance,2
OGB/2024/17,subject_26,2024-10-04,Good performance,8
OGB/2024/17,subject_25,2024-09-19,Very bad performance,0
OGB/2024/18,subject_9,2024-09-24,Very bad performance,0
OGB/2024/18,subject_4,2024-10-18,Below average performance,2
OGB/2024/18,subject_6,2024-10-01,Fair performance,6
OGB/2024/18,subject_7,2024-10-16,Excellent performance,10
OGB/2024/18,subject_10,2024-10-18,Very bad performance,0
OGB/2024/18,subject_5,2024-09-21,Very bad performance,0
OGB/2024/18,subject_3,2024-10-01,Very bad performance,0
OGB/2024/18,subject_1,2024-10-09,Good performance,8
OGB/2024/19,subject_21,2024-10-10,Below average performance,2
OGB/2024/19,subject_22,2024-10-08,Very bad performance,0
OGB/2024/19,subject_29,2024-09-18,Good performance,8
OGB/2024/19,subject_16,2024-10-18,Below average performance,2
OGB/2024/19,subject_17,2024-09-29,Average performance,4
OGB/2024/19,subject_28,2024-09-29,Excellent performance,10
OGB/2024/19,subject_25,2024-10-04,Very bad performance,0
OGB/2024/19,subject_23,2024-10-01,Below average performance,2
OGB/2024/19,subject_24,2024-10-07,Average performance,4
OGB/2024/20,subject_17,2024-10-08,Good performance,8
OGB/2024/20,subject_27,2024-10-12,Below average performance,2
OGB/2024/20,subject_13,2024-09-21,Average performance,4
OGB/2024/20,subject_1,2024-10-09,Very bad performance,0
OGB/2024/20,subject_15,2024-09-26,Good performance,8
OGB/2024/20,subject_22,2024-10-14,Below average performance,2
OGB/2024/20,subject_26,2024-09-23,Excellent performance,10
OGB/2024/20,subject_23,2024-10-03,Very bad performance,0
OGB/2024/20,subject_6,2024-10-02,Excellent performance,10
OGB/2024/21,subject_2,2024-09-20,Excellent performance,10
OGB/2024/21,subject_7,2024-09-21,Excellent performance,10
OGB/2024/21,subject_9,2024-10-12,Good performance,8
OGB/2024/21,subject_8,2024-10-10,Excellent performance,10
OGB/2024/21,subject_1,2024-09-27,Fair performance,6
OGB/2024/21,subject_4,2024-10-06,Below average performance,2
OGB/2024/21,subject_3,2024-09-18,Excellent performance,10
OGB/2024/21,subject_5,2024-09-29,Very bad performance,0
OGB/2024/21,subject_10,2024-10-06,Excellent performance,10
OGB/2024/22,subject_4,2024-10-15,Very bad performance,0
OGB/2024/22,subject_3,2024-10-08,Excellent performance,10
OGB/2024/22,subject_8,2024-10-02,Excellent performance,10
OGB/2024/22,subject_6,2024-09-18,Fair performance,6
OGB/2024/22,subject_2,2024-09-25,Good performance,8
OGB/2024/22,subject_10,2024-10-07,Good performance,8
OGB/2024/22,subject_9,2024-10-17,Fair performance,6
OGB/2024/22,subject_1,2024-10-13,Excellent performance,10
OGB/2024/22,subject_7,2024-10-06,Good performance,8
OGB/2024/22,subject_5,2024-09-23,Excellent performance,10
OGB/2024/23,subject_1,2024-10-04,Very bad performance,0
OGB/2024/23,subject_10,2024-10-06,Excellent performance,10
OGB/2024/23,subject_9,2024-10-02,Very bad performance,0
OGB/2024/23,subject_8,2024-09-28,Excellent performance,10
OGB/2024/23,subject_5,2024-10-15,Very bad performance,0
OGB/2024/23,subject_6,2024-10-05,Excellent performance,10
OGB/2024/23,subject_3,2024-10-06,Excellent performance,10
OGB/2024/23,subject_2,2024-10-18,Fair performance,6
OGB/2024/23,subject_4,2024-10-05,Excellent performance,10
OGB/2024/24,subject_24,2024-09-18,Fair performance,6
OGB/2024/24,subject_2,2024-09-19,Very bad performance,0
OGB/2024/24,subject_5,2024-10-07,Very bad performance,0
OGB/2024/24,subject_27,2024-10-04,Very bad performance,0
OGB/2024/24,subject_1,2024-10-17,Good performance,8
OGB/2024/24,subject_22,2024-09-20,Fair performance,6
OGB/2024/24,subject_23,2024-10-15,Good performance,8
OGB/2024/24,subject_6,2024-10-02,Average performance,4
OGB/2024/24,subject_21,2024-10-05,Excellent performance,10
OGB/2024/24,subject_29,2024-10-09,Excellent performance,10
OGB/2024/25,subject_27,2024-09-18,Good performance,8
OGB/2024/25,subject_13,2024-10-08,Excellent performance,10
OGB/2024/25,subject_21,2024-10-07,Good performance,8
OGB/2024/25,subject_14,2024-09-27,Very bad performance,0
OGB/2024/25,subject_15,2024-10-05,Fair performance,6
OGB/2024/25,subject_2,2024-10-04,Fair performance,6
OGB/2024/25,subject_1,2024-10-13,Excellent performance,10
OGB/2024/25,subject_5,2024-09-25,Excellent performance,10
OGB/2024/25,subject_22,2024-09-26,Very bad performance,0
OGB/2024/25,subject_28,2024-10-02,Below average performance,2
OGB/2024/26,subject_26,2024-09-26,Fair performance,6
OGB/2024/26,subject_17,2024-10-08,Fair performance,6
OGB/2024/26,subject_5,2024-09-25,Excellent performance,10
OGB/2024/26,subject_1,2024-09-30,Very bad performance,0
OGB/2024/26,subject_16,2024-10-06,Excellent performance,10
OGB/2024/26,subject_24,2024-10-12,Excellent performance,10
OGB/2024/26,subject_18,2024-10-13,Excellent performance,10
OGB/2024/26,subject_2,2024-10-01,Average performance,4
OGB/2024/26,subject_23,2024-10-07,Very bad performance,0
OGB/2024/26,subject_6,2024-10-02,Excellent performance,10
OGB/2024/27,subject_9,2024-09-25,Below average performance,2
OGB/2024/27,subject_3,2024-09-29,Very bad performance,0
OGB/2024/27,subject_6,2024-09-23,Good performance,8
OGB/2024/27,subject_1,2024-09-22,Excellent performance,10
OGB/2024/27,subject_4,2024-09-22,Excellent performance,10
OGB/2024/27,subject_2,2024-09-21,Excellent performance,10
OGB/2024/27,subject_7,2024-10-14,Fair performance,6
OGB/2024/27,subject_5,2024-09-26,Excellent performance,10
OGB/2024/27,subject_10,2024-09-19,Average performance,4
OGB/2024/27,subject_8,2024-10-13,Excellent performance,10
OGB/2024/28,subject_18,2024-09-21,Excellent performance,10
OGB/2024/28,subject_13,2024-09-20,Excellent performance,10
OGB/2024/28,subject_1,2024-10-03,Average performance,4
OGB/2024/28,subject_17,2024-09-30,Below average performance,2
OGB/2024/28,subject_22,2024-10-08,Very bad performance,0
OGB/2024/28,subject_29,2024-09-29,Very bad performance,0
OGB/2024/28,subject_27,2024-10-07,Excellent performance,10
OGB/2024/28,subject_25,2024-10-09,Good performance,8
OGB/2024/28,subject_5,2024-10-09,Very bad performance,0
OGB/2024/28,subject_6,2024-10-06,Excellent performance,10
OGB/2024/29,subject_24,2024-10-09,Fair performance,6
OGB/2024/29,subject_28,2024-09-30,Good performance,8
OGB/2024/29,subject_26,2024-10-18,Excellent performance,10
OGB/2024/29,subject_2,2024-10-15,Below average performance,2
OGB/2024/29,subject_14,2024-09-26,Average performance,4
OGB/2024/29,subject_13,2024-09-25,Below average performance,2
OGB/2024/29,subject_22,2024-09-29,Very bad performance,0
OGB/2024/29,subject_25,2024-09-27,Good performance,8
OGB/2024/29,subject_5,2024-10-16,Fair performance,6
OGB/2024/30,subject_1,2024-10-13,Excellent performance,10
OGB/2024/30,subject_9,2024-10-05,Excellent performance,10
OGB/2024/30,subject_4,2024-09-26,Excellent performance,10
OGB/2024/30,subject_8,2024-10-12,Good performance,8
OGB/2024/30,subject_3,2024-09-26,Fair performance,6
OGB/2024/30,subject_5,2024-09-21,Excellent performance,10
OGB/2024/30,subject_6,2024-10-08,Very bad performance,0
OGB/2024/30,subject_2,2024-10-04,Below average performance,2
OGB/2024/31,subject_1,2024-09-29,Very bad performance,0
OGB/2024/31,subject_4,2024-09-27,Very bad performance,0
OGB/2024/31,subject_8,2024-10-16,Very bad performance,0
OGB/2024/31,subject_2,2024-10-10,Good performance,8
OGB/2024/31,subject_9,2024-09-19,Good performance,8
OGB/2024/31,subject_7,2024-09-25,Below average performance,2
OGB/2024/31,subject_10,2024-09-25,Very bad performance,0
OGB/2024/31,subject_5,2024-10-09,Fair performance,6
OGB/2024/31,subject_6,2024-10-06,Average performance,4
OGB/2024/32,subject_6,2024-09-22,Excellent performance,10
OGB/2024/32,subject_8,2024-10-14,Good performance,8
OGB/2024/32,subject_3,2024-10-14,Below average performance,2
OGB/2024/32,subject_4,2024-10-14,Fair performance,6
OGB/2024/32,subject_1,2024-10-11,Fair performance,6
OGB/2024/32,subject_9,2024-09-23,Excellent performance,10
OGB/2024/32,subject_5,2024-10-01,Fair performance,6
OGB/2024/32,subject_7,2024-10-18,Excellent performance,10
OGB/2024/33,subject_3,2024-10-09,Fair performance,6
OGB/2024/33,subject_4,2024-10-03,Fair performance,6
OGB/2024/33,subject_5,2024-10-03,Average performance,4
OGB/2024/33,subject_8,2024-09-19,Excellent performance,10
OGB/2024/33,subject_10,2024-10-02,Good performance,8
OGB/2024/33,subject_9,2024-10-08,Very bad performance,0
OGB/2024/33,subject_1,2024-10-07,Very bad performance,0
OGB/2024/33,subject_7,2024-09-22,Excellent performance,10
OGB/2024/33,subject_2,2024-10-07,Below average performance,2
OGB/2024/34,subject_1,2024-10-10,Good performance,8
OGB/2024/34,subject_6,2024-09-24,Good performance,8
OGB/2024/34,subject_28,2024-10-13,Excellent performance,10
OGB/2024/34,subject_18,2024-09-29,Excellent performance,10
OGB/2024/34,subject_21,2024-10-17,Very bad performance,0
OGB/2024/34,subject_24,2024-09-19,Very bad performance,0
OGB/2024/34,subject_15,2024-09-23,Below average performance,2
OGB/2024/34,subject_13,2024-10-15,Below average performance,2
OGB/2024/35,subject_18,2024-10-09,Below average performance,2
OGB/2024/35,subject_26,2024-10-01,Very bad performance,0
OGB/2024/35,subject_16,2024-09-27,Excellent performance,10
OGB/2024/35,subject_24,2024-09-24,Very bad performance,0
OGB/2024/35,subject_21,2024-09-28,Very bad performance,0
OGB/2024/35,subject_13,2024-09-21,Excellent performance,10
OGB/2024/35,subject_27,2024-10-09,Average performance,4
OGB/2024/35,subject_25,2024-10-04,Below average performance,2
OGB/2024/35,subject_6,2024-09-24,Average performance,4
OGB/2024/36,subject_26,2024-09-21,Very bad performance,0
OGB/2024/36,subject_23,2024-10-15,Very bad performance,0
OGB/2024/36,subject_1,2024-10-09,Excellent performance,10
OGB/2024/36,subject_16,2024-09-24,Excellent performance,10
OGB/2024/36,subject_28,2024-09-25,Very bad performance,0
OGB/2024/36,subject_25,2024-10-02,Fair performance,6
OGB/2024/36,subject_15,2024-09-18,Excellent performance,10
OGB/2024/36,subject_24,2024-10-03,Excellent performance,10
OGB/2024/36,subject_27,2024-09-18,Excellent performance,10
OGB/2024/37,subject_6,2024-09-25,Below average performance,2
OGB/2024/37,subject_29,2024-10-01,Very bad performance,0
OGB/2024/37,subject_13,2024-10-06,Very bad performance,0
OGB/2024/37,subject_22,2024-09-18,Excellent performance,10
OGB/2024/37,subject_24,2024-10-03,Excellent performance,10
OGB/2024/37,subject_26,2024-10-08,Very bad performance,0
OGB/2024/37,subject_1,2024-09-30,Fair performance,6
OGB/2024/37,subject_16,2024-10-04,Below average performance,2
OGB/2024/37,subject_17,2024-10-08,Excellent performance,10
OGB/2024/37,subject_5,2024-10-13,Below average performance,2
OGB/2024/38,subject_3,2024-09-21,Good performance,8
OGB/2024/38,subject_5,2024-10-07,Below average performance,2
OGB/2024/38,subject_8,2024-10-07,Fair performance,6
OGB/2024/38,subject_6,2024-10-11,Fair performance,6
OGB/2024/38,subject_2,2024-10-09,Excellent performance,10
OGB/2024/38,subject_1,2024-09-30,Good performance,8
OGB/2024/38,subject_9,2024-09-24,Excellent performance,10
OGB/2024/38,subject_7,2024-10-04,Excellent performance,10
OGB/2024/38,subject_4,2024-09-20,Below average performance,2
OGB/2024/38,subject_10,2024-09-27,Excellent performance,10
OGB/2024/39,subject_4,2024-10-10,Very bad performance,0
OGB/2024/39,subject_6,2024-09-22,Average performance,4
OGB/2024/39,subject_2,2024-10-05,Very bad performance,0
OGB/2024/39,subject_1,2024-10-13,Very bad performance,0
OGB/2024/39,subject_10,2024-09-28,Excellent performance,10
OGB/2024/39,subject_9,2024-10-13,Excellent performance,10
OGB/2024/39,subject_8,2024-10-10,Below average performance,2
OGB/2024/39,subject_5,2024-10-09,Excellent performance,10
OGB/2024/40,subject_5,2024-09-28,Fair performance,6
OGB/2024/40,subject_8,2024-09-24,Fair performance,6
OGB/2024/40,subject_6,2024-09-21,Excellent performance,10
OGB/2024/40,subject_10,2024-09-28,Excellent performance,10
OGB/2024/40,subject_3,2024-09-25,Excellent performance,10
OGB/2024/40,subject_2,2024-09-23,Excellent performance,10
OGB/2024/40,subject_4,2024-10-04,Good performance,8
OGB/2024/40,subject_7,2024-10-07,Fair performance,6
OGB/2024/40,subject_1,2024-10-08,Below average performance,2
OGB/2024/40,subject_9,2024-09-28,Very bad performance,0
OGB/2024/41,subject_1,2024-10-09,Good performance,8
OGB/2024/41,subject_5,2024-10-05,Excellent performance,10
OGB/2024/41,subject_6,2024-10-15,Excellent performance,10
OGB/2024/41,subject_8,2024-09-22,Fair performance,6
OGB/2024/41,subject_7,2024-09-29,Good performance,8
OGB/2024/41,subject_10,2024-09-23,Excellent performance,10
OGB/2024/41,subject_3,2024-10-10,Fair performance,6
OGB/2024/41,subject_9,2024-10-07,Good performance,8
OGB/2024/42,subject_2,2024-09-21,Excellent performance,10
OGB/2024/42,subject_10,2024-09-29,Excellent performance,10
OGB/2024/42,subject_9,2024-09-20,Excellent performance,10
OGB/2024/42,subject_7,2024-10-16,Fair performance,6
OGB/2024/42,subject_8,2024-10-14,Excellent performance,10
OGB/2024/42,subject_5,2024-10-10,Below average performance,2
OGB/2024/42,subject_1,2024-10-06,Excellent performance,10
OGB/2024/42,subject_3,2024-10-02,Excellent performance,10
OGB/2024/42,subject_6,2024-10-18,Excellent performance,10
OGB/2024/42,subject_4,2024-09-21,Excellent performance,10
OGB/2024/43,subject_8,2024-09-29,Excellent performance,10
OGB/2024/43,subject_2,2024-09-24,Very bad performance,0
OGB/2024/43,subject_1,2024-10-17,Excellent performance,10
OGB/2024/43,subject_9,2024-10-14,Below average performance,2
OGB/2024/43,subject_4,2024-09-27,Fair performance,6
OGB/2024/43,subject_7,2024-09-28,Excellent performance,10
OGB/2024/43,subject_10,2024-09-21,Very bad performance,0
OGB/2024/43,subject_6,2024-10-02,Good performance,8
OGB/2024/43,subject_5,2024-10-17,Good performance,8
OGB/2024/43,subject_3,2024-09-26,Fair performance,6
OGB/2024/44,subject_27,2024-09-27,Excellent performance,10
OGB/2024/44,subject_13,2024-09-22,Below average performance,2
OGB/2024/44,subject_22,2024-09-20,Good performance,8
OGB/2024/44,subject_18,2024-10-12,Very bad performance,0
OGB/2024/44,subject_28,2024-10-16,Very bad performance,0
OGB/2024/44,subject_1,2024-10-18,Good performance,8
OGB/2024/44,subject_29,2024-09-20,Excellent performance,10
OGB/2024/44,subject_2,2024-10-02,Very bad performance,0
OGB/2024/44,subject_24,2024-09-29,Below average performance,2
OGB/2024/44,subject_26,2024-10-05,Below average performance,2
OGB/2024/45,subject_5,2024-10-01,Below average performance,2
OGB/2024/45,subject_23,2024-09-18,Fair performance,6
OGB/2024/45,subject_18,2024-10-13,Average performance,4
OGB/2024/45,subject_24,2024-10-12,Excellent performance,10
OGB/2024/45,subject_16,2024-10-15,Fair performance,6
OGB/2024/45,subject_28,2024-10-18,Very bad performance,0
OGB/2024/45,subject_22,2024-09-29,Excellent performance,10
OGB/2024/45,subject_1,2024-09-28,Excellent performance,10
OGB/2024/46,subject_24,2024-10-08,Excellent performance,10
OGB/2024/46,subject_21,2024-09-20,Very bad performance,0
OGB/2024/46,subject_2,2024-10-16,Below average performance,2
OGB/2024/46,subject_22,2024-09-29,Excellent performance,10
OGB/2024/46,subject_17,2024-10-14,Fair performance,6
OGB/2024/46,subject_13,2024-10-02,Good performance,8
OGB/2024/46,subject_15,2024-10-08,Fair performance,6
OGB/2024/46,subject_16,2024-10-15,Very bad performance,0
OGB/2024/46,subject_26,2024-09-20,Fair performance,6
OGB/2024/47,subject_26,2024-10-11,Excellent performance,10
OGB/2024/47,subject_21,2024-10-14,Excellent performance,10
OGB/2024/47,subject_5,2024-09-18,Below average performance,2
OGB/2024/47,subject_22,2024-10-09,Good performance,8
OGB/2024/47,subject_27,2024-09-22,Fair performance,6
OGB/2024/47,subject_24,2024-09-20,Very bad performance,0
OGB/2024/47,subject_2,2024-10-03,Excellent performance,10
OGB/2024/47,subject_15,2024-09-23,Good performance,8
OGB/2024/48,subject_14,2024-09-22,Good performance,8
OGB/2024/48,subject_24,2024-10-08,Fair performance,6
OGB/2024/48,subject_26,2024-10-01,Very bad performance,0
OGB/2024/48,subject_21,2024-10-15,Fair performance,6
OGB/2024/48,subject_16,2024-10-12,Very bad performance,0
OGB/2024/48,subject_25,2024-10-18,Excellent performance,10
OGB/2024/48,subject_23,2024-10-06,Excellent performance,10
OGB/2024/48,subject_18,2024-09-19,Fair performance,6
OGB/2024/49,subject_5,2024-09-28,Excellent performance,10
OGB/2024/49,subject_6,2024-10-02,Very bad performance,0
OGB/2024/49,subject_1,2024-09-29,Very bad performance,0
OGB/2024/49,subject_4,2024-10-02,Very bad performance,0
OGB/2024/49,subject_3,2024-09-28,Excellent performance,10
OGB/2024/49,subject_9,2024-09-20,Good performance,8
OGB/2024/49,subject_7,2024-09-30,Good performance,8
OGB/2024/49,subject_8,2024-09-25,Excellent performance,10
OGB/2024/49,subject_10,2024-09-30,Good performance,8
OGB/2024/49,subject_2,2024-10-06,Very bad performance,0
OGB/2024/50,subject_1,2024-10-14,Excellent performance,10
OGB/2024/50,subject_21,2024-10-15,Good performance,8
OGB/2024/50,subject_22,2024-10-08,Excellent performance,10
OGB/2024/50,subject_14,2024-10-17,Very bad performance,0
OGB/2024/50,subject_15,2024-10-15,Very bad performance,0
OGB/2024/50,subject_28,2024-10-07,Fair performance,6
OGB/2024/50,subject_18,2024-10-02,Excellent performance,10
OGB/2024/50,subject_6,2024-10-17,Below average performance,2
OGB/2024/50,subject_24,2024-10-02,Fair performance,6
OGB/2024/50,subject_2,2024-10-15,Below average performance,2
OGB/2024/51,subject_14,2024-09-19,Excellent performance,10
OGB/2024/51,subject_2,2024-10-01,Excellent performance,10
OGB/2024/51,subject_25,2024-09-23,Very bad performance,0
OGB/2024/51,subject_16,2024-09-26,Excellent performance,10
OGB/2024/51,subject_6,2024-09-25,Below average performance,2
OGB/2024/51,subject_29,2024-10-12,Very bad performance,0
OGB/2024/51,subject_21,2024-09-21,Good performance,8
